name,lat,long,Population,Income,Gini,White %,Household size,Agriculture employ.,liters 2014,liters 2014 capita,Population served,Conservation,SPEI_3YEARS,SPI_3YEARS,lat2,long2
Alameda,37.765234,-122.243627,74818,38796,0.4658,48.49635115,2.511008189,0.171439286,4387293127,12680.03794,346000,0.16,-2.515306782,-2.230197237,37.765234,-122.243627
Amador Water Agency,38.382932,-120.788387,145,16250,0.5472,87.5862069,1.768292683,0,357418651.5,15308.97552,23347,0.24,-2.515306782,-2.230197237,38.382932,-120.788387
Arvin,35.201833,-118.833016,19665,15043,0.3839,83.12738368,4.400313269,52.57817929,287729206.7,14036.25576,20499,0.28,-2.515306782,-2.230197237,35.201833,-118.833016
Atascadero,35.489381,-120.673654,28613,34100,0.414,89.22867228,2.596225388,1.2263938,584202716.4,18617.63333,31379,0.28,-2.515306782,-2.230197237,35.489381,-120.673654
Bella Vista,40.70247,-122.166804,2611,20771,0.3285,92.99119111,2.872387239,0,1224846096,69518.47985,17619,0.36,-2.515306782,-2.230197237,40.70247,-122.166804
Big Bear City,34.261229,-116.844507,12147,20275,0.4459,88.76265745,2.502472188,2.712477396,133117211.2,10725.7442,12411,0.16,-2.515306782,-2.230197237,34.261229,-116.844507
Antelope Valley,34.752322,-118.252426,47520,30604,0.3983,63.78787879,3.314963376,0.598918083,84616759.54,24953.33516,3391,0.36,-2.515306782,-2.230197237,34.752322,-118.252426
Bakersfield,35.370183,-119.008397,352918,24605,0.4458,65.51975246,3.210330022,10.30289646,7734169178,27759.74092,278611,0.32,-2.515306782,-2.230197237,35.370183,-119.008397
Bear Gulch,37.433306,-122.228145,138,13750,0.4191,61.5942029,2.936170213,0,1435524559,22114.25207,64914,0.36,-2.515306782,-2.230197237,37.433306,-122.228145
Chico,39.748587,-121.823069,86833,21151,0.4595,82.87747746,2.56978396,2.123509222,2409604078,23487.48017,102591,0.32,-2.515306782,-2.230197237,39.748587,-121.823069
Dixon,38.448481,-121.833056,18524,30909,0.3979,78.07708918,3.110663308,3.528872594,144810606,14508.62699,9981,0.28,-2.515306782,-2.230197237,38.448481,-121.833056
Hermosa/Redondo,33.86291,-118.395123,19605,61720,0.462,86.10048457,2.109879466,0.075700227,1193639041,12455.92713,95829,0.2,-2.515306782,-2.230197237,33.86291,-118.395123
King City,36.212584,-121.126559,12996,17727,0.4099,84.99538319,4.654727794,45.88888889,171330435.9,11574.81664,14802,0.12,-2.515306782,-2.230197237,36.212584,-121.126559
Los Altos,37.380076,-122.106002,29389,73410,0.4889,69.24699718,2.665427172,0,1302925410,19120.73919,68142,0.32,-2.515306782,-2.230197237,37.380076,-122.106002
Marysville,39.145678,-121.588858,12144,16628,0.4519,70.28162055,2.712530713,2.845630823,234361287.3,19254.1314,12172,0.24,-2.515306782,-2.230197237,39.145678,-121.588858
Oroville,39.51178,-121.553367,15858,17244,0.4376,73.38882583,2.86607627,2.755177515,456017726,42341.47873,10770,0.28,-2.515306782,-2.230197237,39.51178,-121.553367
Redwood Valley,39.267244,-123.204244,2105,17939,0.2858,79.95249406,3.738898757,5.731832139,35400889.19,11052.41623,3203,0.16,-2.515306782,-2.230197237,39.267244,-123.204244
Salinas,36.67837,-121.65579,152340,20126,0.4081,72.76289878,3.765758639,21.08737245,1799647991,14805.21567,121555,0.16,-2.515306782,-2.230197237,36.67837,-121.65579
